from,to,weight
15527013,44984134,1
15527013,16339573,1
15527013,15780631,1
15527013,95822575,1
15527013,18681592,1
15527013,13274152,1
15527013,16107051,1
15527013,15456622,1
15527013,68571415,1
15527013,17643774,1
15527013,90630206,1
15527013,17870415,1
15527013,136055942,1
15527013,12600372,1
15527013,21212145,1
15527013,57186667,1
15527013,91718540,1
15527013,85416304,1
15527013,51662201,1
15527013,197141866,1
15527013,9870342,1
15527013,18030840,1
15527013,35702691,1
15527013,16901455,1
15527013,50888802,1
15527013,27463744,1
15527013,17870501,1
15527013,16953895,1
15527013,39782670,1
15527013,14958507,1
15527013,9406452,1
15527013,21523946,1
15527013,259110723,1
15527013,19996594,1
15527013,16530279,1
15527013,22559840,1
15527013,15312009,1
15527013,19579040,1
15527013,14120253,1
15527013,18103410,1
15527013,15534579,1
15527013,21931952,1
15527013,216126534,1
15527013,38272894,1
15527013,5413762,1
15527013,509323,1
15527013,6598572,1
15527013,13607,1
15527013,29674222,1
15527013,16457564,1
15527013,16871402,1
15527013,2029971,1
15527013,17129546,1
44984134,755603,1
44984134,509323,1
44984134,15527013,1
44984134,57186667,1
44984134,13607,1
44984134,12600372,1
44984134,19996594,1
44984134,18030840,1
44984134,85416304,1
44984134,39782670,1
44984134,35702691,1
44984134,50888802,1
44984134,9870342,1
44984134,68571415,1
13607,9870342,1
13607,14120253,1
13607,50888802,1
13607,18030840,1
13607,15527013,1
13607,14538601,1
13607,18681592,1
13607,7183482,1
13607,57186667,1
13607,44984134,1
13607,35702691,1
13607,6598572,1
13607,19996594,1
13607,27463744,1
13607,68571415,1
13607,509323,1
9870342,13607,1
9870342,12600372,1
9870342,35702691,1
9870342,509323,1
9870342,19996594,1
9870342,15527013,1
9870342,21523946,1
9870342,44984134,1
9870342,18030840,1
11340982,818489,1
11340982,15456622,1
11340982,16107051,1
11340982,14667274,1
11340982,1471021,1
11340982,809760,1
11340982,3839,1
11340982,755603,1
11340982,9453872,1
818489,4519121,1
818489,17814635,1
818489,3839,1
818489,428333,1
14120253,24008967,1
14120253,6598572,1
14120253,16657117,1
14120253,44984134,1
14120253,18030840,1
14120253,19996594,1
14120253,91718540,1
14120253,24608680,1
14120253,15527013,1
14120253,57186667,1
14120253,80273245,1
14120253,199032495,1
14120253,27463744,1
14120253,126881128,1
14120253,35702691,1
14120253,85416304,1
14120253,9406452,1
14120253,9870342,1
14120253,509323,1
14120253,7183482,1
14120253,12600372,1
14120253,19579040,1
14120253,50888802,1
14120253,68571415,1
14120253,16530279,1
14120253,15780631,1
14120253,13607,1
10266802,61819621,1
10266802,11340982,1
10266802,44655553,1
10266802,131884083,1
10266802,4519121,1
10266802,509323,1
10266802,818489,1
10266802,3839,1
10266802,27242126,1
10266802,13607,1
61819621,27242126,1
61819621,32765534,1
61819621,10266802,1
95822575,15456622,1
95822575,15527013,1
95822575,17643774,1
95822575,16107051,1
95822575,9663492,1
95822575,15814666,1
15456622,95822575,1
15456622,618593,1
15456622,83883736,1
15456622,18103410,1
15456622,14667274,1
15456622,17643774,1
15456622,11340982,1
15456622,145753059,1
15456622,15527013,1
57186667,18030840,1
57186667,19579040,1
57186667,15527013,1
57186667,509323,1
57186667,18681592,1
57186667,38272894,1
57186667,21212145,1
57186667,35702691,1
57186667,755603,1
57186667,2029971,1
57186667,16530279,1
57186667,12600372,1
