from,to,weight
82,65,1
82,118,1
82,56,1
82,84,1
82,148,1
82,13,1
82,119,1
82,59,1
82,121,1
82,123,1
82,98,1
82,67,1
82,16,1
82,29,1
65,7,1
65,118,1
65,25,1
65,13,1
133,62,1
133,96,1
133,40,1
133,1,1
133,141,1
133,26,1
133,9,1
62,56,1
62,67,1
62,142,1
62,141,1
62,26,1
62,122,1
62,130,1
62,98,1
62,96,1
127,135,1
127,36,1
127,21,1
127,108,1
127,139,1
135,36,1
23,116,1
23,83,1
23,61,1
23,144,1
23,99,1
23,51,1
23,124,1
116,14,1
116,149,1
116,17,1
116,140,1
116,115,1
116,41,1
116,144,1
116,28,1
116,2,1
48,57,1
48,119,1
48,53,1
48,80,1
48,126,1
48,130,1
48,30,1
48,88,1
48,54,1
48,1,1
48,73,1
57,92,1
57,80,1
57,24,1
57,108,1
56,67,1
56,134,1
56,109,1
56,26,1
56,104,1
56,88,1
56,141,1
56,128,1
56,21,1
56,30,1
56,103,1
56,132,1
56,59,1
56,55,1
56,75,1
56,66,1
56,119,1
56,136,1
56,122,1
56,72,1
56,9,1
56,60,1
56,142,1
56,40,1
56,118,1
56,63,1
56,25,1
56,13,1
56,98,1
56,113,1
67,141,1
67,69,1
67,142,1
67,55,1
67,45,1
67,109,1
67,104,1
67,136,1
67,123,1
67,119,1
67,9,1
67,75,1
67,113,1
67,66,1
67,134,1
67,26,1
67,128,1
67,3,1
67,13,1
67,72,1
67,21,1
67,79,1
67,25,1
67,10,1
67,118,1
67,98,1
67,31,1
67,40,1
67,122,1
134,118,1
134,21,1
134,26,1
134,132,1
134,66,1
134,142,1
134,9,1
134,113,1
36,108,1
88,21,1
88,126,1
88,73,1
88,1,1
88,106,1
88,130,1
88,80,1
88,25,1
88,53,1
21,98,1
21,55,1
21,66,1
21,26,1
21,108,1
21,9,1
21,142,1
21,105,1
21,119,1
21,136,1
21,121,1
21,109,1
21,104,1
21,39,1
21,122,1
21,40,1
21,13,1
21,31,1
21,25,1
21,123,1
83,25,1
83,31,1
83,51,1
83,84,1
128,9,1
128,150,1
128,104,1
128,26,1
128,122,1
128,98,1
128,119,1
9,105,1
9,75,1
9,26,1
9,30,1
9,142,1
9,85,1
9,119,1
9,66,1
9,113,1
9,79,1
9,72,1
9,25,1
9,148,1
9,69,1
9,141,1
9,3,1
9,122,1
141,72,1
141,122,1
141,38,1
141,39,1
141,25,1
141,98,1
141,40,1
141,26,1
98,148,1
98,104,1
98,122,1
98,123,1
98,113,1
98,13,1
98,59,1
98,26,1
98,103,1
98,25,1
98,119,1
98,118,1
98,109,1
27,54,1
27,119,1
54,119,1
54,53,1
54,1,1
109,118,1
109,119,1
109,26,1
109,148,1
109,142,1
109,104,1
109,31,1
109,122,1
109,50,1
109,13,1
118,13,1
118,26,1
118,29,1
118,16,1
118,59,1
105,69,1
105,148,1
105,25,1
105,39,1
105,119,1
73,126,1
73,1,1
73,30,1
73,130,1
73,25,1
126,1,1
119,39,1
119,148,1
119,113,1
119,25,1
119,122,1
119,125,1
119,26,1
119,64,1
119,132,1
119,13,1
119,50,1
119,1,1
119,150,1
119,100,1
119,79,1
119,146,1
149,20,1
149,115,1
149,2,1
149,14,1
149,28,1
149,144,1
20,14,1
20,2,1
20,44,1
20,115,1
20,41,1
20,111,1
25,94,1
25,3,1
25,76,1
25,104,1
25,148,1
25,69,1
25,72,1
25,130,1
25,113,1
25,122,1
25,103,1
25,51,1
25,84,1
25,40,1
25,39,1
25,79,1
25,31,1
25,26,1
94,53,1
94,80,1
94,92,1
94,24,1
94,101,1
142,66,1
142,10,1
142,113,1
142,3,1
142,122,1
142,31,1
142,104,1
142,45,1
142,40,1
142,123,1
142,26,1
66,113,1
66,122,1
66,26,1
136,7,1
136,125,1
136,87,1
136,103,1
136,122,1
136,120,1
136,146,1
7,129,1
7,22,1
7,38,1
7,103,1
7,31,1
7,87,1
3,85,1
3,26,1
3,72,1
3,122,1
85,75,1
140,137,1
140,17,1
140,115,1
140,28,1
140,41,1
140,144,1
137,115,1
137,111,1
137,41,1
137,93,1
137,17,1
137,32,1
26,72,1
26,122,1
26,69,1
26,113,1
26,104,1
26,55,1
26,40,1
26,123,1
26,79,1
26,13,1
104,113,1
104,45,1
104,123,1
104,122,1
104,55,1
14,144,1
14,115,1
14,28,1
14,41,1
72,40,1
72,113,1
72,132,1
40,77,1
40,29,1
40,132,1
40,113,1
92,1,1
92,24,1
92,80,1
92,101,1
92,53,1
24,53,1
24,80,1
24,101,1
53,1,1
53,101,1
53,130,1
53,146,1
55,122,1
55,123,1
69,121,1
69,39,1
33,42,1
115,2,1
115,19,1
115,28,1
115,41,1
115,144,1
115,17,1
84,51,1
84,31,1
51,31,1
28,144,1
28,41,1
144,17,1
144,41,1
39,121,1
5,122,1
5,87,1
122,45,1
122,123,1
122,31,1
122,113,1
80,101,1
113,132,1
113,50,1
113,148,1
113,121,1
129,31,1
19,112,1
19,138,1
19,17,1
19,89,1
19,41,1
150,100,1
150,64,1
87,22,1
45,132,1
13,148,1
13,59,1
91,8,1
91,110,1
8,110,1
6,89,1
6,147,1
6,95,1
89,95,1
89,147,1
106,29,1
29,16,1
100,64,1
148,50,1
148,146,1
111,44,1
111,17,1
111,41,1
111,93,1
17,41,1
38,117,1
131,99,1
131,143,1
99,68,1
99,102,1
99,143,1
44,41,1
143,68,1
143,46,1
143,35,1
41,93,1
50,146,1
147,95,1
77,117,1
93,32,1
58,107,1
78,4,1
